T247979	KCCAT192	-4.54104543474	0.0687114045027
T324407	CAT941.2	4.50618276431	0.0687114045027
T079735	KCCAT608	3.63206609365	0.209343836436
T382726	PRCAT188.3	-3.44175487135	0.209343836436
T036012	LINC00702.2	3.41532619541	0.209343836436
T118748	CAT1768.5	-3.29218601136	0.209343836436
T076229	LINC00941.1	3.27933795334	0.209343836436
T033010	MEAT143	3.22880542382	0.209343836436
T203783	TTN-AS1.2	3.19714698321	0.209343836436
T162496	CAT2019	3.19153091681	0.209343836436
T032371	KCCAT536	3.13077722931	0.209343836436
T254340	OVAT166.1	-3.09414161723	0.209343836436
T234606	CAT2254.1	-3.06596219375	0.209343836436
T193457	LINC00152.4	3.05979661054	0.209343836436
T151551	CAT1957.1	3.05923941975	0.209343836436
T293467	KCCAT4	3.03705156003	0.209343836436
T079734	KCCAT430	2.96705235474	0.209343836436
T009776	KCCAT40	2.95950287886	0.209343836436
T071398	LINC00942	2.95334772403	0.209343836436
T080255	MBAT89	-2.92898038265	0.209343836436
T129132	CAT1830	-2.92868018524	0.209343836436
T224779	PRCAT221	-2.92359826055	0.209343836436
T247981	KCCAT337	-2.87452180535	0.209343836436
T090882	CAT1583	2.8661401594	0.209343836436
T348117	CAT1066	2.85528872187	0.209343836436
T070283	CAT1443	-2.79373774792	0.209343836436
T089127	CAT1579	2.77835773121	0.209343836436
T099580	MCF2L-AS1.2	-2.77627470922	0.209343836436
T044117	KHCAT369	-2.77430146219	0.209343836436
T086856	CAT1572	2.76234094202	0.209343836436
T353728	FAM83H-AS1.5	2.75947071812	0.209343836436
T312362	CAT870.1	2.75898115809	0.209343836436
T376712	CAT2291	-2.75406661015	0.209343836436
T324414	EGFR-AS1.3	2.75156127405	0.209343836436
T201518	CMAT2	-2.74938672614	0.209343836436
T331729	ST7-AS1	-2.74739159413	0.209343836436
T032228	BRCAT81	2.7428807368	0.209343836436
T252689	MBNL1-AS1.2	-2.74217386789	0.209343836436
T334719	CAT987	-2.73231680003	0.209343836436
T062911	ANO1-AS1	2.70083234243	0.216027195208
T233874	KCCAT180	-2.6879261661	0.216027195208
T036018	LINC00702.1	2.68026847225	0.216027195208
T232633	CAT2240	-2.66814768821	0.216027195208
T033403	CAT190.2	2.66628048235	0.216027195208
T047724	MBAT88	-2.64458526904	0.221436209336
T114875	CAT1729.4	-2.63623511581	0.221436209336
T078076	CAT1508	2.62674238376	0.221514084002
T247980	KCCAT301	-2.60598081297	0.227519977184
T159666	CAT2005.1	2.57061392928	0.240701097207
T114876	CAT1729.5	-2.56379351155	0.240701097207
T193443	LINC00152.2	2.55047091585	0.24333271056
